Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDQ47,OUT046,820.84814
DRN36,OUT049,1585.8551
NCY06,OUT035,2233.2
FDE52,OUT035,1293.3114
NCB54,OUT045,1755.5062
NCF31,OUT035,2569.7852
FDJ08,OUT027,4104.071
NCC07,OUT017,1765.291
NCD19,OUT027,1575.4388
FDL46,OUT049,2076.6057
FDM20,OUT045,4377.416
NCI06,OUT010,820.2571
DRM11,OUT035,5054.9243
NCH07,OUT018,2283.064
FDS23,OUT013,2084.119
FDO49,OUT018,393.7813
FDS35,OUT049,1234.2958
DRK39,OUT045,1139.9904
DRI39,OUT049,939.6449
FDV04,OUT017,1855.0885
NCN14,OUT035,3500.9849
FDH08,OUT013,5099.9844
FDS20,OUT046,3326.62
FDV40,OUT049,1146.2717
FDZ48,OUT010,161.11253
FDS24,OUT027,2109.5051
FDK44,OUT049,2887.6453
FDS48,OUT045,2305.6843
FDK26,OUT010,646.0984
FDD23,OUT045,3699.4978
NCH54,OUT017,2885.9463
NCP14,OUT010,346.9166
FDM60,OUT010,-86.69518
FDV24,OUT017,2278.288
FDH08,OUT018,3057.8152
FDS12,OUT027,3502.2283
FDR39,OUT027,4742.621
FDP12,OUT027,1126.9955
DRF60,OUT027,7040.34
FDC09,OUT035,1610.6832
FDF50,OUT018,3043.4805
FDG28,OUT035,4130.1978
NCE19,OUT017,831.43274
NCM53,OUT010,414.70834
NCN18,OUT049,1530.3512
FDF32,OUT035,3071.57
FDF11,OUT013,3620.4985
DRI59,OUT049,3501.5862
NCG54,OUT035,3578.2393
FDM44,OUT046,1420.9991
FDT57,OUT018,2401.9868
FDV24,OUT046,2300.7866
FDI50,OUT019,734.88464
FDS09,OUT035,851.09485
NCC31,OUT027,3739.1428
FDQ07,OUT019,-153.50017
FDC22,OUT017,3282.2988
FDZ56,OUT046,2726.1235
FDZ40,OUT019,125.931244
FDS46,OUT027,2900.607
DRD24,OUT045,2253.5715
FDV45,OUT017,3284.8777
FDL26,OUT045,2536.2942
FDA56,OUT018,1669.7682
FDN27,OUT046,1105.9296
FDM20,OUT049,3899.7627
FDO16,OUT017,1697.6365
FDL03,OUT035,2633.5527
FDE58,OUT046,1797.5054
FDI02,OUT027,3299.8564
NCC55,OUT019,235.81622
FDR03,OUT018,2857.906
FDB14,OUT017,1564.606
FDR45,OUT013,3709.0925
NCN07,OUT017,2083.5425
FDM51,OUT019,426.00482
FDT52,OUT027,5622.4385
FDL26,OUT046,2470.3171
NCZ42,OUT046,4130.27
DRI47,OUT019,541.2201
FDW40,OUT013,2367.33
FDN34,OUT046,3695.6768
FDS01,OUT035,2603.469
NCG55,OUT045,1775.1975
FDC11,OUT035,1101.0468
FDX35,OUT018,2636.6177
NCB06,OUT046,2665.0234
FDR09,OUT019,-207.74924
FDC53,OUT017,1490.7816
FDY45,OUT013,5229.611
FDA22,OUT010,734.837
FDE02,OUT035,1602.9875
FDW21,OUT045,1683.649
FDV34,OUT046,1262.7931
FDS59,OUT049,2114.8413
NCW17,OUT017,2550.1323
NCK54,OUT046,2027.9596
FDG17,OUT019,306.39713
FDG35,OUT017,3518.6277
FDD08,OUT010,211.96954
NCO07,OUT017,4962.1934
FDJ10,OUT010,-208.35211
FDW36,OUT017,1403.2351
FDW21,OUT010,123.82778
FDY19,OUT017,1985.1271
DRE03,OUT013,701.2257
NCC55,OUT049,558.67365
FDH52,OUT010,179.81708
FDO09,OUT017,5731.502
FDU43,OUT045,4071.1113
FDX09,OUT010,823.2207
FDH40,OUT019,230.98749
FDW58,OUT017,1894.8909
FDC47,OUT017,4678.346
NCR41,OUT035,1703.3357
DRG49,OUT035,4320.103
FDC52,OUT027,3268.211
FDY13,OUT046,1245.8882
FDY35,OUT013,825.288
FDI35,OUT017,4564.5337
NCU18,OUT049,2205.1309
FDY33,OUT018,2857.6687
FDC15,OUT027,2127.2942
FDU01,OUT049,4154.912
NCU42,OUT046,3094.9631
NCV29,OUT018,2309.0967
NCY30,OUT017,3253.9414
FDQ46,OUT049,1656.9453
FDG58,OUT027,3320.4092
FDK33,OUT017,4222.434
NCD07,OUT045,1298.4849
NCX29,OUT027,3979.4675
NCT42,OUT013,2377.3887
DRN59,OUT035,780.8166
FDI44,OUT035,1352.9941
FDA45,OUT049,1895.7808
FDP31,OUT045,529.92944
FDY01,OUT046,1902.5798
FDT09,OUT018,2037.0641
DRH03,OUT027,1967.1906
FDA36,OUT018,1364.9078
NCF31,OUT017,2666.3572
FDG14,OUT049,2490.7288
FDG28,OUT027,5800.759
FDU14,OUT049,4458.3916
FDY47,OUT019,619.6849
FDI56,OUT049,1222.456
DRD01,OUT013,843.51764
FDM22,OUT046,1081.0205
FDH33,OUT013,795.3557
DRZ24,OUT013,1796.2717
NCQ38,OUT046,1460.616
FDO16,OUT027,1871.4343
FDU07,OUT027,4173.5405
NCB07,OUT013,2542.7424
FDU48,OUT045,2175.6248
NCM43,OUT045,2946.8203
FDR31,OUT010,752.934
DRK49,OUT018,339.6269
NCI30,OUT010,-58.066578
DRD60,OUT017,2970.2285
NCG19,OUT046,3102.2717
FDH12,OUT035,1571.922
FDM32,OUT035,1302.6241
FDM27,OUT035,2846.5083
NCU53,OUT027,4923.407
NCQ18,OUT046,1543.3461
FDS10,OUT013,2740.7224
FDB33,OUT027,3290.2432
FDI12,OUT013,1528.2484
NCW42,OUT013,3897.1033
NCC06,OUT018,1929.5035
FDW02,OUT017,2159.4287
NCD43,OUT017,1831.35
FDM57,OUT018,857.7384
FDA58,OUT017,3000.322
FDK56,OUT046,2814.1177
FDP52,OUT045,5051.083
FDW20,OUT018,1827.3394
FDS52,OUT049,1474.9579
NCT29,OUT018,1535.6708
NCL54,OUT013,3095.075
FDC05,OUT045,2549.5085
FDF34,OUT035,2766.9304
FDP03,OUT027,3222.027
FDD32,OUT010,154.22148
FDZ10,OUT045,2382.8936
FDZ40,OUT035,944.1285
FDD51,OUT018,432.99707
NCY30,OUT019,458.17017
FDP58,OUT017,2694.0645
FDV49,OUT017,5207.144
FDY24,OUT019,128.98753
NCO55,OUT017,1848.2263
FDR13,OUT017,1936.9779
FDS51,OUT017,882.47675
FDP26,OUT045,1735.1599
NCB54,OUT027,3503.336
FDF32,OUT017,3120.191
FDN31,OUT018,2404.6294
DRM48,OUT017,691.4462
FDN20,OUT049,2603.3196
DRL01,OUT046,4572.287
FDV56,OUT049,1528.9597
DRH13,OUT027,2476.5525
FDA03,OUT017,2284.4011
FDF47,OUT027,4714.552
FDX32,OUT046,2271.5842
FDX57,OUT049,1582.9934
NCA30,OUT045,2583.5183
FDO49,OUT013,693.1881
FDL04,OUT019,306.88715
DRM48,OUT035,627.53455
FDR16,OUT013,4847.8584
NCC19,OUT018,2854.126
NCE42,OUT045,3186.4297
FDY24,OUT017,1450.8542
FDH19,OUT049,2406.99
FDJ46,OUT013,2760.6743
FDN45,OUT010,202.87877
FDY08,OUT035,2423.0059
FDZ37,OUT035,1683.2162
NCT30,OUT045,650.7533
DRY23,OUT018,395.7176
NCZ30,OUT018,1730.4152
FDC44,OUT018,1514.6671
FDB45,OUT035,1492.3489
FDY04,OUT013,2460.5103
FDM27,OUT046,3183.2107
FDZ43,OUT017,4944.617
FDT39,OUT019,788.9418
NCC06,OUT019,355.5825
FDL15,OUT027,3692.5005
FDL57,OUT017,4689.0674
FDU08,OUT046,1229.3966
FDK40,OUT017,4477.67
FDQ12,OUT010,1064.066
FDS48,OUT017,2550.586
FDP09,OUT045,3834.7544
FDW21,OUT049,1501.3291
FDY25,OUT035,3575.5962
DRE13,OUT017,1414.4135
FDV43,OUT019,164.49615
FDD22,OUT045,1802.3739
FDM46,OUT019,449.56702
NCO30,OUT010,489.2398
FDM25,OUT046,2820.911
NCN41,OUT049,2226.1409
FDU24,OUT045,1462.507
FDZ50,OUT046,2920.1306
FDP45,OUT013,3896.6628
NCM54,OUT045,2029.0658
FDW10,OUT019,323.35718
FDP20,OUT017,2020.5326
FDK32,OUT046,2564.5715
FDN52,OUT049,1438.3578
FDM58,OUT045,2550.0781
FDZ46,OUT027,2942.6597
NCA18,OUT018,1345.779
FDD35,OUT046,2141.895
NCK31,OUT035,876.9764
FDI40,OUT027,3165.986
FDT50,OUT019,174.46967
NCT06,OUT046,3053.8523
FDT31,OUT035,3085.5344
FDT45,OUT049,953.2953
FDT13,OUT045,3305.4395
FDO50,OUT045,1186.1534
NCU18,OUT010,-396.51407
NCR54,OUT049,3755.6409
NCO18,OUT018,2318.871
FDU09,OUT045,804.8112
FDT13,OUT018,2530.5186
FDE09,OUT046,1672.6979
NCK53,OUT019,202.96608
FDG45,OUT049,4101.9507
DRH15,OUT035,951.49524
FDO21,OUT019,391.51074
FDD14,OUT027,4929.7183
FDC09,OUT046,1547.212
FDH45,OUT027,1280.9738
FDV32,OUT046,1326.0369
FDG12,OUT035,2280.3813
FDS32,OUT013,2373.238
NCL55,OUT018,3726.0898
DRE01,OUT035,3114.5435
DRE15,OUT049,1299.5095
NCL42,OUT045,4827.075
FDP31,OUT013,435.62515
FDN33,OUT018,1260.7792
FDZ59,OUT046,3328.3723
FDE45,OUT010,375.5865
FDJ07,OUT013,1683.2588
FDQ45,OUT018,3590.627
FDM33,OUT027,4132.694
FDO15,OUT010,95.095505
FDM46,OUT013,1443.0686
FDR03,OUT045,3840.0315
FDY49,OUT018,2559.8892
FDQ60,OUT045,2001.7747
FDW10,OUT049,2215.7913
FDO51,OUT049,746.706
FDJ40,OUT018,1502.2622
FDS20,OUT018,2936.4976
FDU45,OUT013,2278.975
FDV02,OUT035,2954.6013
FDN09,OUT046,4811.2847
NCM55,OUT027,5272.559
FDN23,OUT018,2255.245
FDY31,OUT010,114.996895
FDW03,OUT010,128.49606
FDD14,OUT046,3213.187
FDV23,OUT017,2038.0157
DRI03,OUT045,1993.3497
FDN13,OUT035,1251.1775
FDF45,OUT027,2053.2522
FDU46,OUT035,1306.7633
FDB57,OUT049,4131.5435
FDV12,OUT049,1884.0508
FDQ58,OUT013,1718.2008
NCA18,OUT017,1584.0376
FDH52,OUT049,1104.5106
FDM24,OUT018,2785.0657
NCP43,OUT027,3887.1162
NCO18,OUT019,279.22733
FDM32,OUT017,1481.1633
NCL07,OUT017,618.233
FDK03,OUT013,4667.629
FDP59,OUT017,1444.6703
FDQ24,OUT049,3823.9915
FDQ16,OUT018,1539.0573
FDU44,OUT013,2792.7947
FDH28,OUT010,45.68091
FDV28,OUT019,110.01801
FDM22,OUT045,1256.7794
FDR56,OUT046,2988.5837
FDV39,OUT049,2611.9968
FDU37,OUT019,199.58632
FDQ11,OUT010,154.01468
FDX02,OUT045,4214.1924
NCS42,OUT018,1624.1228
FDY57,OUT027,2823.9346
FDB21,OUT049,3288.8506
FDE28,OUT017,3599.5479
FDQ55,OUT017,1931.0442
FDA48,OUT049,3929.7375
FDZ19,OUT045,2154.155
NCC43,OUT045,3872.9324
NCV18,OUT046,2389.9417
NCA42,OUT018,2360.4255
FDY45,OUT046,4034.896
NCC30,OUT045,2987.7146
FDM57,OUT013,1506.5728
FDL09,OUT010,370.16824
FDB09,OUT027,3760.223
FDT44,OUT035,1831.666
NCT06,OUT027,3721.291
FDX26,OUT049,3320.901
FDK32,OUT013,2711.308
DRA12,OUT046,2122.3904
FDO46,OUT010,568.5953
FDE52,OUT013,1442.9004
NCH42,OUT045,4264.054
FDV08,OUT035,841.9586
FDB47,OUT018,2147.5474
FDC28,OUT010,529.75867
FDD22,OUT046,2002.2834
FDS07,OUT027,3254.069
DRI13,OUT045,4258.5864
FDG32,OUT018,3094.984
FDU14,OUT017,4994.6943
FDD28,OUT019,127.08235
NCP41,OUT017,2034.35
FDS08,OUT049,1568.5424
FDX47,OUT045,2235.4678
FDC53,OUT019,268.30392
FDQ19,OUT035,3645.6208
FDL14,OUT045,2344.069
FDM33,OUT019,340.47992
FDA51,OUT045,1920.2893
FDZ27,OUT018,650.47455
FDT04,OUT046,587.45233
DRC13,OUT049,2120.2954
FDR16,OUT027,5078.534
FDQ03,OUT027,6693.142
FDE38,OUT035,3114.0132
DRH23,OUT027,1930.8892
FDT11,OUT019,199.6744
FDD09,OUT035,2970.7542
FDR40,OUT045,1685.9456
FDX07,OUT017,3328.503
FDR07,OUT035,934.0616
FDA51,OUT017,2081.6462
FDT59,OUT019,904.5721
FDF20,OUT017,3105.845
FDR13,OUT045,1606.0754
FDY26,OUT049,5324.232
FDW04,OUT017,2139.3906
FDK52,OUT017,5899.062
FDN60,OUT049,2894.8765
FDM09,OUT019,266.09
FDP46,OUT049,1396.0562
FDB50,OUT019,288.47537
NCQ29,OUT049,3568.1465
FDP16,OUT027,7603.9995
FDX33,OUT018,2211.7336
FDP07,OUT010,376.3042
FDN22,OUT046,3455.639
FDF39,OUT049,5662.2886
FDS21,OUT017,870.90704
NCM42,OUT013,1938.351
FDK50,OUT019,338.68347
DRF13,OUT027,3026.4756
FDH35,OUT018,2410.8818
FDP60,OUT018,1013.8543
DRJ49,OUT027,2861.4268
NCT42,OUT019,162.60962
FDE38,OUT049,3084.0032
FDI04,OUT049,2952.822
NCH54,OUT045,2489.719
FDT56,OUT049,961.3649
DRD15,OUT018,2497.3958
FDV58,OUT013,2579.6501
FDP21,OUT049,3329.4766
FDH05,OUT013,2725.482
FDR10,OUT027,4130.223
NCP06,OUT045,2374.412
FDF33,OUT049,2256.4727
DRK37,OUT013,3496.633
DRH49,OUT045,1259.3761
FDT58,OUT013,2525.0583
FDD41,OUT018,1738.7253
FDP40,OUT018,1469.6079
FDM51,OUT027,2688.6104
FDO45,OUT010,135.11868
FDW33,OUT010,255.55894
FDY24,OUT045,743.833
FDB10,OUT010,-485.32355
FDM40,OUT035,2766.282
NCI06,OUT017,3329.3618
FDW12,OUT019,226.71526
FDX48,OUT027,3730.3723
NCW05,OUT027,2571.8877
FDX27,OUT017,1527.2983
DRM37,OUT045,4015.0388
FDA38,OUT045,3326.4878
FDR36,OUT046,835.5684
FDZ45,OUT046,3114.4775
FDG05,OUT017,2728.0264
FDK28,OUT013,4940.545
FDV47,OUT045,1358.1907
FDN21,OUT045,2158.2344
FDP20,OUT027,3903.4475
FDI35,OUT045,4315.351
DRY23,OUT013,635.7338
FDA56,OUT017,2080.5771
FDB09,OUT013,1868.0122
NCO26,OUT027,2969.2515
FDQ49,OUT018,2120.5793
FDI52,OUT027,3772.919
FDZ44,OUT027,3004.2202
FDZ09,OUT018,2472.905
FDY03,OUT049,1787.8768
NCG42,OUT017,2148.0195
DRI13,OUT027,5195.802
FDQ32,OUT013,2163.231
FDW16,OUT035,1380.1335
FDU27,OUT046,878.9121
FDR28,OUT010,432.69638
FDQ49,OUT010,113.29791
FDS37,OUT046,2007.2004
FDW26,OUT018,3052.9775
FDX12,OUT018,3906.817
NCP06,OUT013,2687.9836
FDW45,OUT010,408.21545
NCN30,OUT049,1629.1892
FDN24,OUT049,383.7673
NCL41,OUT027,884.6318
FDR02,OUT019,153.49203
FDD09,OUT010,579.8442
FDS33,OUT010,217.47702
FDU22,OUT045,2096.3723
FDI53,OUT013,2560.7915
DRH01,OUT049,2508.2888
FDX32,OUT013,2229.4246
NCP30,OUT018,534.1518
FDB60,OUT045,3255.7832
FDB14,OUT049,1504.6547
NCP02,OUT035,991.5417
FDJ10,OUT017,2255.5906
FDG34,OUT046,1904.3353
NCB18,OUT017,1435.6339
FDM16,OUT049,1571.082
FDW25,OUT018,862.5923
FDB35,OUT010,254.556
DRN11,OUT013,2310.0881
FDF41,OUT019,1274.5413
FDH16,OUT045,1182.6263
NCQ50,OUT018,3634.7488
DRH23,OUT018,929.4402
DRJ37,OUT013,2152.1995
DRJ24,OUT027,5299.2744
FDY16,OUT035,3010.1523
FDQ27,OUT045,2070.7007
FDZ33,OUT045,2083.312
FDF29,OUT045,2229.0256
FDA08,OUT049,2574.6084
FDG31,OUT046,1312.5917
FDE34,OUT019,645.9825
NCR30,OUT027,1802.2614
FDV33,OUT035,3739.2185
DRZ24,OUT018,1561.5924
NCL54,OUT035,2816.5032
FDR12,OUT049,2923.566
NCC54,OUT046,3987.8423
DRN59,OUT013,664.3275
FDX50,OUT019,350.30493
FDV31,OUT027,3917.3171
NCA29,OUT027,4804.8604
FDW60,OUT049,2209.5945
FDX08,OUT017,3012.2505
DRD49,OUT013,3164.3228
FDD33,OUT046,2942.5698
FDW35,OUT013,572.5362
FDJ36,OUT017,1651.376
FDV51,OUT035,3018.5942
FDW36,OUT046,1459.4712
FDH35,OUT046,2188.916
NCS30,OUT027,3209.0042
FDN49,OUT017,433.22495
FDL08,OUT018,2979.5876
FDI09,OUT013,3388.7046
FDP19,OUT018,1942.4795
FDU21,OUT010,-103.18675
NCP41,OUT045,1777.861
FDY10,OUT013,1901.024
FDP12,OUT018,595.8075
NCN26,OUT049,1722.5734
FDK44,OUT013,2797.0898
FDC28,OUT049,1376.24
FDJ41,OUT027,5288.1733
NCT29,OUT035,1912.6495
NCH42,OUT019,362.4487
FDU60,OUT018,3028.6536
FDS02,OUT045,3210.1184
FDC51,OUT046,1966.5997
FDU03,OUT013,2924.8323
FDX39,OUT045,3969.4094
NCY05,OUT010,243.50279
NCL06,OUT027,5783.8965
FDD32,OUT035,1572.6854
NCN41,OUT045,2223.4475
NCX53,OUT049,2861.9746
FDU57,OUT019,287.98196
FDQ23,OUT046,1657.7529
FDQ52,OUT045,5195.0938
FDC14,OUT045,550.7141
FDY09,OUT035,3854.9717
FDQ28,OUT045,2409.963
FDV25,OUT046,6112.7964
FDJ07,OUT035,2075.4443
DRB25,OUT049,1795.0236
FDK52,OUT019,454.28137
FDY52,OUT027,1157.8525
FDB28,OUT046,3338.1099
FDT36,OUT035,635.9399
FDV25,OUT017,5626.4277
NCN07,OUT027,3527.7078
FDC57,OUT017,3641.6116
FDQ03,OUT018,1953.9796
FDU23,OUT017,3270.8872
NCX41,OUT035,3979.7773
NCD06,OUT035,797.38855
FDW08,OUT045,1502.3779
NCU29,OUT017,2310.4707
NCE06,OUT013,2454.9148
FDV52,OUT010,298.79025
FDB02,OUT017,3020.385
NCR18,OUT045,578.9753
FDK16,OUT049,1512.3716
NCQ29,OUT010,419.52737
FDZ01,OUT019,326.12515
FDW27,OUT035,1865.9464
FDD17,OUT018,3061.3381
FDW39,OUT013,2553.5278
DRH59,OUT045,1375.4841
FDS52,OUT013,1745.9697
FDU40,OUT027,6073.287
NCF54,OUT013,2033.3221
FDH46,OUT045,1735.184
NCP14,OUT049,1870.1656
FDH50,OUT049,3376.9045
DRF15,OUT010,95.43177
FDV27,OUT027,2288.0012
NCJ06,OUT049,2213.7488
FDN02,OUT018,3133.976
FDQ51,OUT049,616.29047
FDQ07,OUT017,4429.122
FDS45,OUT049,2479.5571
NCJ06,OUT045,1967.9714
FDD36,OUT035,2063.054
FDY25,OUT045,3364.5156
FDU52,OUT046,2593.4006
DRK47,OUT017,4031.2893
NCL30,OUT017,2008.5375
FDN22,OUT035,4024.2744
NCF30,OUT027,3264.1804
FDK03,OUT035,4787.4595
FDT45,OUT017,958.4989
NCC54,OUT027,5957.2197
FDP08,OUT018,2560.0466
FDU44,OUT046,3056.4688
DRG39,OUT035,899.4242
FDU32,OUT049,1810.2731
FDY27,OUT049,2452.8535
NCP54,OUT013,1970.3977
NCZ41,OUT049,1728.8645
DRL49,OUT013,2323.8152
FDI05,OUT018,1282.4572
FDY56,OUT045,4411.198
DRC13,OUT013,1942.4006
NCV29,OUT017,3081.0203
FDR24,OUT049,1346.8792
FDZ34,OUT018,2337.3684
FDP37,OUT035,2341.596
FDX08,OUT027,4300.266
FDS57,OUT045,1834.8301
NCG18,OUT049,1870.1215
FDK25,OUT018,3599.313
FDH53,OUT049,1233.1123
DRI59,OUT018,2924.1267
FDA52,OUT046,2655.8108
FDT20,OUT010,27.963556
FDE36,OUT019,389.25186
FDI24,OUT017,3194.8638
FDB28,OUT018,2642.1528
FDV11,OUT017,2933.5068
FDP01,OUT046,1928.7146
FDD34,OUT027,3827.2717
FDJ50,OUT027,1483.0233
FDZ44,OUT013,1700.4677
DRO59,OUT035,1134.5781
DRB48,OUT045,708.43915
FDR21,OUT018,2643.5647
NCE42,OUT010,1430.9752
FDO23,OUT046,1347.3499
NCE30,OUT018,2267.35
FDQ22,OUT035,503.45663
FDY01,OUT045,1599.622
FDS08,OUT017,1463.1615
FDG28,OUT018,1902.251
FDQ51,OUT018,415.96362
FDB05,OUT017,5012.128
FDO56,OUT049,1972.046
FDE02,OUT018,1292.9885
FDN45,OUT017,3344.1353
FDS09,OUT013,812.0012
NCA54,OUT018,2340.9023
FDP09,OUT010,381.06625
FDC53,OUT045,1236.0144
NCM55,OUT017,3563.2217
FDL09,OUT018,2637.9246
FDA11,OUT019,74.15417
FDA50,OUT045,1471.3418
FDC23,OUT017,3765.9731
FDE22,OUT049,2269.7644
FDD23,OUT046,3802.273
NCA29,OUT049,3829.6758
FDK38,OUT046,2365.9976
DRC13,OUT046,2259.4116
NCP43,OUT049,2914.6868
FDX28,OUT049,1468.2847
FDF08,OUT049,1635.5582
FDZ33,OUT046,2241.438
FDD10,OUT049,2356.4722
FDO58,OUT017,3051.5852
FDI50,OUT017,4282.0366
FDO58,OUT045,2580.1545
FDX08,OUT013,3083.936
NCK17,OUT010,-60.28217
FDF39,OUT035,5153.3105
FDU45,OUT010,736.97546
NCJ18,OUT018,1559.3413
DRC27,OUT019,209.26373
DRC25,OUT035,1688.1068
FDU59,OUT035,1911.2253
FDU28,OUT035,2215.5996
NCP30,OUT046,646.5238
FDB39,OUT018,886.0505
FDE41,OUT013,1034.0936
DRH11,OUT010,193.36435
FDA58,OUT045,4013.0605
FDU50,OUT046,1637.0009
FDM34,OUT013,2224.01
FDM44,OUT027,2069.7776
FDR39,OUT045,2628.3057
FDM25,OUT045,2346.969
FDQ49,OUT049,2125.888
DRH25,OUT018,690.5589
FDM09,OUT027,3585.1301
FDL44,OUT019,370.47528
NCR42,OUT018,555.59973
DRL59,OUT046,901.5924
FDX43,OUT013,2587.0986
DRK47,OUT010,907.939
FDU48,OUT018,1418.9606
FDY12,OUT045,745.07825
NCN43,OUT018,1539.3289
NCM55,OUT018,2579.8833
FDQ21,OUT027,3444.7224
FDX13,OUT035,3943.838
NCK30,OUT027,5259.0684
FDG20,OUT049,2405.3284
DRG27,OUT017,753.17804
FDY14,OUT018,4480.222
FDP59,OUT035,1491.5613
FDU60,OUT017,3959.449
NCC18,OUT019,356.7535
DRJ39,OUT017,4150.416
FDS07,OUT049,1833.9106
FDM08,OUT027,6560.4727
FDP51,OUT045,2004.3629
FDU16,OUT035,1461.7092
FDH12,OUT013,1623.6211
DRE48,OUT010,1079.344
NCL42,OUT027,7420.892
FDR21,OUT045,2708.5757
NCW29,OUT035,2120.605
FDO11,OUT013,4820.002
NCM31,OUT049,2496.3115
FDV35,OUT019,458.76584
FDF58,OUT017,1003.07153
NCE43,OUT049,3618.624
FDA02,OUT035,2164.826
DRL37,OUT010,130.75087
FDR24,OUT018,1120.1123
FDW59,OUT049,1442.3829
FDS22,OUT049,685.72345
FDW24,OUT017,691.7454
FDU24,OUT035,1624.9559
FDA21,OUT027,5014.5684
FDH58,OUT027,3134.4272
FDW36,OUT018,1161.3413
FDI45,OUT027,5313.869
FDU01,OUT018,3251.971
FDF35,OUT027,2812.8508
FDU43,OUT019,633.72516
FDE24,OUT019,428.0233
